1,Lead-acid (Pb-acid),Null,1
2,AA Cells,Null,2
3,Primary Battery,Null,3
4,Measurement Of Current In Which A Battery Is Charged,Null,4
5,Mechanical,Null,5
6,     Lead Acid,Null,6
7,Permanent magnet,Null,7
8,     AC to DC,Null,8
9,Matching maximum motor speed with maximum vehicle speed,Null,9
10,Unit cell voltages add up in series.,Null,10
11,Unit cell currents add up in series.,Null,11
12,Unit cell energies add up in series.,Null,12
13,    Battery energy storage and power acceptance capacity,Null,13
14,Inclined,Null,14
15,Ability of the vehicle to climb 1.5 m over 100 m of horizontal distance.,Null,15
16,Security of Charging,Null,16
17,State of Happiness,Null,17
18,Depth of Decay,Null,18
19,Brake Management System,Null,19
20,It is this voltage that generally defines the “full” state of the battery.,Null,20
21,"The number of discharge-charge cycles for which the
battery can be used.",Null,21
22,400 V,Null,22
23,Helium & Oxygen,Null,23
24,Constant Current-Constant Vehicle,Null,24
25,Compound Velocity Controlled Combustion,Null,25
26,CV-CC,Null,26
27,500 A,Null,27
28,Kilowatt-hour (kWh),Null,28
29,Li-Ion Battery,Null,29
30,310 Kg,Null,30
31,10 KWh,Null,31
32,ICEV,Null,32
33,PHEV,Null,33
34,ICEV,Null,34
35,ICEV,Null,35
36,ICEV,Null,36
37,ICEV,Null,37
38,Micro Hybrid,Null,38
39,EV Supply Equipment,Null,39
40,Faster Addition & Maintenance of EVs,Null,40
41,Fast AC Charging,Null,41
42,Sodium Azide,Null,42
43,Belt replacement,Null,43
44,8,Null,44
45,Controlled Area Network,Null,45
46,Share information between power train & ECUs,Null,46
47,LiCoO2: Lithium-cobalt-oxide,Null,47
48,Automobile Indian Standards,Null,48
49,AIS-100 (Rev. 1)/DF,Null,49
50,General Motors,Null,50
51,ISO-14001: 2015,Null,51
52,Lead-acid (100~130 Wh/Kg),Null,52
53,4000 Cells,Null,53
54,Panasonic,Null,54
55,Buy Your Dream,Null,55
56,Clean Advanced Technology Lab,Null,56
57,"1. Lead Acid
2. Ni-MH
3. Ni-Cd
4. Li-Ion",Null,57
58,21700,Null,58
59,"1. 65 mm is the Dia Of Cell
2. 18 mm is the Length of Cell",Null,59
60,O Cha Demo Ikaga Desuka,Null,60
61,USA,Null,61
62,1 hour,Null,62
63,Limited charging infrastructure,Null,63
64,80~100 KM,Null,64
65,Kinetic conversion,Null,65
66,Controlling the air conditioning system,Null,66
67,Balancing cell voltages,Null,67
68,Adjusting the side mirrors,Null,68
69,By decreasing the battery's capacity,Null,69
70,Tire pressure,Null,70
71,150 (ICEV)/24 (EV),Null,71
72,30 (ICEV)/10 (EV),Null,72
73,70%~80%,Null,73
74,0.25,Null,74
75,10%~20%,Null,75
76,Lithium-ion (Li-ion),Null,1
77,AAA Cells,Null,2
78,Secondary Battery,Null,3
79,Measurement Of Current In Which A Battery Is Discharged,Null,4
80,Electrical,Null,5
81,Nickle-Metal Hydride,Null,6
82,Windings or coils,Null,7
83,DC to AC,Null,8
84,Matching maximum motor torque with maximum vehicle gradeability,Null,9
85,    Unit cell voltages add up in parallel,Null,10
86,    Unit cell currents add up in parallel,Null,11
87,Unit cell energies add up in parallel,Null,12
88,    Route profile and speed v/s time for the drive cycle,Null,13
89,Series,Null,14
90,Ability of the vehicle to climb 150 m over 100 m of horizontal distance.,Null,15
91,State of Charge,Null,16
92,State of Hygiene,Null,17
93,Deepness of Discharge,Null,18
94,Browser Management System,Null,19
95,It is this voltage that generally defines the “empty” state of the battery.,Null,20
96,"The number of discharge-charge cycles which the
battery can sustain till it fails.",Null,21
97,600 V,Null,22
98,Nitrogen & Oxygen,Null,23
